Survey Year,UNITID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Average Annual Institutional Salary per Head Coach,Men's Team Number of Head Coaches Included in Average,Men's Team Average Annual Institutional Salary per FTE,Men's Team Number of FTEs Included in Average, Women's Team Average Annual Institutional Salary per Head Coach,Women's Team Number of Head Coaches Included in Average,Women's Team Average Annual Institutional Salary per FTE,Women's Team Number of FTEs Included in Average, Coed Team Average Annual Institutional Salary per Head Coach,Coed Team Number of Head Coaches Included in Average,Coed Team Average Annual Institutional Salary per FTE,Coed Team Number of FTEs Included in Average
2003,152992,Briar Cliff University,IA,NAIA Division II,,2,NAIA,412,376,788,13719,7,32011,3.00,10912,6,27055,2.42,,,,
2003,153001,Buena Vista University,IA,NCAA Division III with football,,1,NCAA,544,979,1523,15066,9,42506,3.19,11544,8,39807,2.32,,,,
2003,153108,Central College,IA,NCAA Division III with football,,1,NCAA,573,603,1176,21000,9,43852,4.31,17113,8,37508,3.65,,,,
2003,153126,Clarke University,IA,NAIA Division I,,2,NAIA,251,481,732,13587,7,38820,2.45,9163,7,26180,2.45,,,,
2003,153144,Coe College,IA,NCAA Division III with football,,1,NCAA,552,753,1305,24304,10,51711,4.70,15963,9,42886,3.35,,,,
2003,153162,Cornell College,IA,NCAA Division III with football,,1,NCAA,489,484,973,19507,8,44587,3.50,14452,7,33721,3.00,,,,
2003,153250,Dordt College,IA,NAIA Division II,,2,NAIA,721,646,1367,8398,7,39191,1.50,8398,7,39191,1.50,,,,
2003,153269,Drake University,IA,NCAA Division I-FCS,,1,NCAA,1313,1778,3091,77145,7,102860,5.25,55428,8,65692,6.75,,,,
2003,153320,Faith Baptist Bible College and Theological Seminary,IA,NCCAA Division II,,4,NCCAA,88,106,194,3300,2,6600,1.00,3300,3,9900,1.00,,,,
2003,153366,Graceland University-Lamoni,IA,NAIA Division II,,2,NAIA,514,652,1166,15828,9,38089,3.74,16322,8,46304,2.82,,,,
2003,153375,Grand View University,IA,NAIA Division II,,2,NAIA,746,897,1643,17642,4,35284,2.00,18285,6,31346,3.50,,,,
2003,153384,Grinnell College,IA,NCAA Division III with football,,1,NCAA,743,910,1653,18537,10,55667,3.33,18154,10,54517,3.33,,,,
2003,153603,Iowa State University,IA,NCAA Division I-FBS,,1,NCAA,16457,12334,28791,377003,5,377003,5.00,112219,9,112219,9.00,,,,
2003,153621,Iowa Wesleyan University,IA,NCAA Division III with football,,1,NCAA,237,242,479,23564,6,32880,4.30,20417,6,37693,3.25,,,,
2003,153825,Loras College,IA,NCAA Division III with football,,1,NCAA,731,669,1400,16651,10,23787,7.00,13064,9,19596,6.00,,,,
2003,153834,Luther College,IA,NCAA Division III with football,,1,NCAA,943,1164,2107,17150,9,42756,3.61,13503,8,42033,2.57,,,,
2003,154004,Morningside College,IA,NAIA Division II,,2,NAIA,596,697,1293,26086,8,43934,4.75,19572,8,31315,5.00,,,,
2003,154013,Mount Mercy University,IA,NAIA Division I,,2,NAIA,346,700,1046,12350,5,30122,2.05,8501,6,26157,1.95,,,,
2003,154101,Northwestern College,IA,NAIA Division II,,2,NAIA,455,586,1041,12577,8,35058,2.87,9615,7,29913,2.25,,,,
2003,154235,Saint Ambrose University,IA,NAIA Division II,,2,NAIA,950,1237,2187,13316,8,26632,4.00,7375,8,18154,3.25,,,,
2003,154350,Simpson College,IA,NCAA Division III with football,,1,NCAA,605,774,1379,17209,9,54344,2.85,11271,9,35468,2.86,,,,
2003,153278,University of Dubuque,IA,NCAA Division III with football,,1,NCAA,1035,644,1679,22048,9,22048,9.00,15762,7,15762,7.00,,,,
2003,153658,University of Iowa,IA,NCAA Division I-FBS,,1,NCAA,9801,10889,20690,290231,9,307303,8.50,90442,11,90442,11.00,,,,
2003,154095,University of Northern Iowa,IA,NCAA Division I-FCS,,1,NCAA,3856,5263,9119,100516,6,123081,4.90,68514,8,83047,6.60,,,,
2003,154493,Upper Iowa University,IA,NCAA Division II with football,,1,NCAA,878,1346,2224,30362,8,30362,8.00,22906,8,22906,8.00,,,,
2003,154518,Waldorf University,IA,NAIA Division II,,2,NAIA,867,546,1413,9600,6,32179,1.79,10100,5,36071,1.40,,,,
2003,154527,Wartburg College,IA,NCAA Division III with football,,1,NCAA,686,747,1433,23933,8,51608,3.71,16700,7,41900,2.79,,,,
2003,154590,William Penn University,IA,NAIA Division I,,2,NAIA,613,498,1111,32087,7,44041,5.10,21681,5,30973,3.50,,,,
